"campus","sample_type","sample_subtype","classcode","Kingdom","Phylum","Class","Order","Family","Genus","Species","species_definition","taxonomic_source","taxonomic_id","common_name","notes","size_cutoff","LOOKED1999","LOOKED2000","LOOKED2001","LOOKED2002","LOOKED2003","LOOKED2004","LOOKED2005","LOOKED2006","LOOKED2007","LOOKED2008","LOOKED2009","LOOKED2010","LOOKED2011","LOOKED2012","LOOKED2013","LOOKED2014","LOOKED2015","LOOKED2016","LOOKED2017","LOOKED2018","LOOKED2019","LOOKED2020","LOOKED2021","LOOKED2022","LOOKED2023","LOOKED2024"
"UCSB","FISH","FISH","LLEP","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Lepidogobius","lepidus","Lepidogobius lepidus","WoRMS","281292","Bay Goby","Cryptic, not sampled effectiively",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSC","FISH","FISH","LLEP","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Lepidogobius","lepidus","Lepidogobius lepidus","WoRMS","281292","Bay Goby","Cryptic, not sampled effectiively",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSB","FISH","FISH","LMUC","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Liparidae","Liparis","mucosus","Liparis mucosus","WoRMS","274527","Slimy Snailfish","Cryptic, not sampled effectiively",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSC","FISH","FISH","LMUC","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Liparidae","Liparis","mucosus","Liparis mucosus","WoRMS","274527","Slimy Snailfish","Cryptic, not sampled effectiively",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSB","FISH","FISH","LXAN","Animalia","Chordata","Actinopterygii","Blenniiformes","Labrisomidae","Labrisomus","xanti","Labrisomus xanti","WoRMS","281266","Largemouth Blenny","warm water fish exapaning into SoCA as of 2018",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","LZEB","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Lythrypnus","zebra","Lythrypnus zebra","WoRMS","281472","Zebra Goby","Cryptic, not sampled effectiively",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSB","FISH","FISH","MCAL","Animalia","Chordata","Actinopterygii","Perciformes","Kyphosidae","Medialuna","californiensis","Medialuna californiensis","WoRMS","281541","Halfmoon",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","MCAL","Animalia","Chordata","Actinopterygii","Perciformes","Kyphosidae","Medialuna","californiensis","Medialuna californiensis","WoRMS","281541","Halfmoon",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","MCEP","Animalia","Chordata","Actinopterygii","Perciformes","Mugilidae","Mugil","cephalus","Mugil cephalus","WoRMS","126983","Mullet",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","MCEP","Animalia","Chordata","Actinopterygii","Perciformes","Mugilidae","Mugil","cephalus","Mugil cephalus","WoRMS","126983","Mullet",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","MMIN","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Micrometrus","minimus","Micrometrus minimus","WoRMS","281562","Dwarf Surfperch",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","MMOL","Animalia","Chordata","Actinopterygii","Tetradontiformes","Molidae","Mola","mola","Mola mola","WoRMS","127405","Ocean Sunfish",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","MMOL","Animalia","Chordata","Actinopterygii","Tetradontiformes","Molidae","Mola","mola","Mola mola","WoRMS","127405","Ocean Sunfish",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","MXEN","Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Mycteroperca","xenarcha","Mycteroperca xenarcha","WoRMS","273886","Broomtail Grouper",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","NBLA","Animalia","Chordata","Actinopterygii","Perciformes","Chaenopsidae","Neoclinus","blanchardi","Neoclinus blanchardi","WoRMS","281679","Sarcastic Fringehead",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","NCEP","Animalia","Chordata","Elasmobranchii","Hexanchiformes","Hexanchidae","Notorynchus","cepedianus","Notorynchus cepedianus","WoRMS","217628","Broadnose Sevengill Shark",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","NO_ORG",NA,NA,NA,NA,NA,NA,NA,"No Organisms Present In This Sample","PISCO",NA,"No Organisms Present In This Sample",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","NO_ORG",NA,NA,NA,NA,NA,NA,NA,"No Organisms Present In This Sample","PISCO",NA,"No Organisms Present In This Sample",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","NSTE","Animalia","Chordata","Actinopterygii","Perciformes","Chaenopsidae","Neoclinus","stephensae","Neoclinus stephensae","WoRMS","281685","Yellowfin Fringehead","Cryptic, not sampled effectiively",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSC","FISH","FISH","NSTE","Animalia","Chordata","Actinopterygii","Perciformes","Chaenopsidae","Neoclinus","stephensae","Neoclinus stephensae","WoRMS","281685","Yellowfin Fringehead","Cryptic, not sampled effectiively",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSB","FISH","FISH","NUNI","Animalia","Chordata","Actinopterygii","Perciformes","Chaenopsidae","Neoclinus","uninotatus","Neoclinus uninotatus","WoRMS","281687","Onespot Fringehead","Cryptic, not sampled effectiively",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSC","FISH","FISH","NUNI","Animalia","Chordata","Actinopterygii","Perciformes","Chaenopsidae","Neoclinus","uninotatus","Neoclinus uninotatus","WoRMS","281687","Onespot Fringehead","Cryptic, not sampled effectiively",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSB","FISH","FISH","OCAL","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Oxyjulis","californica","Oxyjulis californica","WoRMS","240727","Senorita",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","OCAL","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Oxyjulis","californica","Oxyjulis californica","WoRMS","240727","Senorita",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","OELO","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Hexagrammidae","Ophiodon","elongatus","Ophiodon elongatus","WoRMS","240745","Lingcod",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","OELO","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Hexagrammidae","Ophiodon","elongatus","Ophiodon elongatus","WoRMS","240745","Lingcod",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","OPIC","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Hexagrammidae","Oxylebius","pictus","Oxylebius pictus","WoRMS","240743","Painted Greenling",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","OPIC","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Hexagrammidae","Oxylebius","pictus","Oxylebius pictus","WoRMS","240743","Painted Greenling",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","OTRI","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Orthonopias","triacis","Orthonopias triacis","WoRMS","281935","Snubnose Sculpin","Cryptic, not sampled effectiively",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSC","FISH","FISH","OTRI","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Orthonopias","triacis","Orthonopias triacis","WoRMS","281935","Snubnose Sculpin","Cryptic, not sampled effectiively",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSB","FISH","FISH","OYB","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","serranoides,flavidus,melanops","Sebastes serranoides/flavidus/melanops","WoRMS","274852/274795/274817","Olive, Yellowtail, and Black Rockfish Young Of Year","This species group includes S. serranoides, S. flavidus, S. melanops (Olive/Yellowtail/Black) .",NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","OYB","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","serranoides,flavidus,melanops","Sebastes serranoides/flavidus/melanops","WoRMS","274852/274795/274817","Olive, Yellowtail, and Black Rockfish Young Of Year","This species group includes S. serranoides, S. flavidus, S. melanops (Olive/Yellowtail/Black) .",NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","OYT","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","serranoides,flavidus","Sebastes serranoides/flavidus","WoRMS","274852/274795","Olive Or Yellowtail Rockfish","This species group includes Sebastes serranoides and Sebastes flavidus (Olive/Yellowtail).",NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","OYT","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","serranoides,flavidus","Sebastes serranoides/flavidus","WoRMS","274852/274795","Olive Or Yellowtail Rockfish","This species group includes Sebastes serranoides and Sebastes flavidus (Olive/Yellowtail).",NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","PANINT","Animalia","Arthropoda","Malacostraca","Decapoda","Palinuridae","Panulirus","interruptus","Panulirus interruptus","WoRMS","382898","Spiny lobster","added in 2022- UCSb counts all lobster found on all fish transects",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","yes"
"UCSB","FISH","FISH","PATR","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Phanerodon","atripes","Phanerodon atripes","WoRMS","279409","Sharpnose Surfperch",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","PATR","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Phanerodon","atripes","Phanerodon atripes","WoRMS","279409","Sharpnose Surfperch",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","PCAL","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Paralichthyidae","Paralichthys","californicus","Paralichthys californicus","WoRMS","275809","California Halibut",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","PCAL","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Paralichthyidae","Paralichthys","californicus","Paralichthys californicus","WoRMS","275809","California Halibut",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","PCLA","Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Paralabrax","clathratus","Paralabrax clathratus","WoRMS","282054","Kelp Bass, Calico Bass",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","PCLA","Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Paralabrax","clathratus","Paralabrax clathratus","WoRMS","282054","Kelp Bass, Calico Bass",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","PCOE","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Pleuronichthys","coenosus","Pleuronichthys coenosus","WoRMS","282290","C-O Turbot",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","PCOE","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Pleuronichthys","coenosus","Pleuronichthys coenosus","WoRMS","282290","C-O Turbot",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","PFAL","Animalia","Chordata","Actinopterygii","Perciformes","Chaetodontidae","Prognathodes","falcifer","Prognathodes falcifer","WoRMS","273374","Scythemarked Butterflyfish",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","PFAL","Animalia","Chordata","Actinopterygii","Perciformes","Chaetodontidae","Prognathodes","falcifer","Prognathodes falcifer","WoRMS","273374","Scythemarked Butterflyfish",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","PFUR","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Phanerodon","furcatus","Phanerodon furcatus","WoRMS","240730","White Surfperch",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","PFUR","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Phanerodon","furcatus","Phanerodon furcatus","WoRMS","240730","White Surfperch",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","PGLA","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Prionace","glauca","Prionace glauca","WoRMS","105801","Blue Shark",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","PGLA","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Prionace","glauca","Prionace glauca","WoRMS","105801","Blue Shark",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","PHOL","Animalia","Chordata","Actinopterygii","Perciformes","Pholidae","Pholidae","spp","Pholidae","WoRMS","125550","Gunnels",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","PHOL","Animalia","Chordata","Actinopterygii","Perciformes","Pholidae","Pholidae","spp","Pholidae","WoRMS","125550","Gunnels",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","PLEU","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Pleuronectidae","spp","Pleuronectidae","WoRMS","125579","Righteyed Flounders",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","PLEU","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Pleuronectidae","spp","Pleuronectidae","WoRMS","125579","Righteyed Flounders",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","PMAC","Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Paralabrax","maculatofasciatus","Paralabrax maculatofasciatus","WoRMS","282058","Spotted Sandbass",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","PMAC","Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Paralabrax","maculatofasciatus","Paralabrax maculatofasciatus","WoRMS","282058","Spotted Sandbass",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","PNEB","Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Paralabrax","nebulifer","Paralabrax nebulifer","WoRMS","282059","Barred Sandbass",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","PNEB","Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Paralabrax","nebulifer","Paralabrax nebulifer","WoRMS","282059","Barred Sandbass",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","PNOT","Animalia","Chordata","Actinopterygii","Batrachoidiformes","Batrachoididae","Porichthys","notatus","Porichthys notatus","WoRMS","275658","Plainfin Midshipman",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","PNOT","Animalia","Chordata","Actinopterygii","Batrachoidiformes","Batrachoididae","Porichthys","notatus","Porichthys notatus","WoRMS","275658","Plainfin Midshipman",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","PPRO","Animalia","Chordata","Elasmobranchii","Rajiformes","Rhinobatidae","Pseudobatos","productus","Pseudobatos productus","WoRMS","1043469","Shovelnose Guitarfish",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","PTRI","Animalia","Chordata","Elasmobranchii","Rajiformes","Rhinobatidae","Platyrhinoidis","triseriata","Platyrhinoidis triseriata","WoRMS","282280","Thornback Guitarfish",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","PTRI","Animalia","Chordata","Elasmobranchii","Rajiformes","Rhinobatidae","Platyrhinoidis","triseriata","Platyrhinoidis triseriata","WoRMS","282280","Thornback Guitarfish",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","PVAC","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Phanerodon","vacca","Phanerodon vacca","WoRMS","282555","Pile Surfperch",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","PVAC","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Phanerodon","vacca","Phanerodon vacca","WoRMS","282555","Pile Surfperch",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","RALL","Animalia","Chordata","Actinopterygii","Perciformes","Bathymasteridae","Rathbunella","alleni","Rathbunella alleni","WoRMS","271572","Stripefin Ronquil",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","RALL","Animalia","Chordata","Actinopterygii","Perciformes","Bathymasteridae","Rathbunella","alleni","Rathbunella alleni","WoRMS","271572","Stripefin Ronquil",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","RBIN","Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Raja","binoculata","Raja binoculata","WoRMS","126175","Big Skate",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","RBIN","Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Raja","binoculata","Raja binoculata","WoRMS","126175","Big Skate",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","RFYOY","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","spp","Sebastes","WoRMS","282556","Rockfish Young Of The Year, Unidentified Sp.","Any unidentified YOY rockfish.",NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","RFYOY","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","spp","Sebastes","WoRMS","282556","Rockfish Young Of The Year, Unidentified Sp.","Any unidentified YOY rockfish.",NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","RHYP","Animalia","Chordata","Actinopterygii","Perciformes","Bathymasteridae","Rathbunella","hypoplecta","Rathbunella hypoplecta","WoRMS","282629","Smooth Ronquil",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","RHYP","Animalia","Chordata","Actinopterygii","Perciformes","Bathymasteridae","Rathbunella","hypoplecta","Rathbunella hypoplecta","WoRMS","282629","Smooth Ronquil",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","RJOR","Animalia","Chordata","Actinopterygii","Perciformes","Bathymasteridae","Ronquilus","jordani","Ronquilus jordani","WoRMS","282580","Northern Ronquil",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","RJOR","Animalia","Chordata","Actinopterygii","Perciformes","Bathymasteridae","Ronquilus","jordani","Ronquilus jordani","WoRMS","282580","Northern Ronquil",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","RNIC","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Rhinogobiops","nicholsii","Rhinogobiops nicholsii","WoRMS","282578","Blackeye Goby","Cryptic, not sampled effectiively. This species was counted on quadrats at southern California sites",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSC","FISH","FISH","RNIC","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Rhinogobiops","nicholsii","Rhinogobiops nicholsii","WoRMS","271583","Blackeye Goby","This species was counted on quadrats at southern California sites",">9cm to be counted","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
